.model_id,.model_desc,.key,.index,.value,.conf_lo,.conf_hi,mean,low,high
4,GLMNET,prediction,10/02/2019,5.10034263,4.340917472,5.859767788,163.0781158,75.77794864,349.6427112
4,GLMNET,prediction,17/02/2019,4.694459712,3.935034554,5.453884871,108.3397178,50.16391786,232.66416
4,GLMNET,prediction,24/02/2019,5.577461315,4.818036157,6.336886473,263.3995259,122.7218817,564.0343203
4,GLMNET,prediction,03/03/2019,5.414047633,4.654622475,6.173472792,223.5386008,104.0695461,478.8496337
4,GLMNET,prediction,10/03/2019,5.043830945,4.284405787,5.803256103,154.0629161,71.55941815,330.3768023
4,GLMNET,prediction,17/03/2019,5.027123916,4.267698758,5.786549075,151.4937965,70.35723627,324.8864718
4,GLMNET,prediction,24/03/2019,4.743087606,3.983662448,5.502512764,113.7880754,52.71339693,244.3075585
4,GLMNET,prediction,31/03/2019,4.967177598,4.20775244,5.726602756,142.6209587,66.20532193,305.9247969
4,GLMNET,prediction,07/04/2019,5.252962691,4.493537533,6.012387849,190.1316946,88.4372742,407.4574916
4,GLMNET,prediction,14/04/2019,5.032552627,4.273127469,5.791977786,152.3238923,70.74566746,326.660426
4,GLMNET,prediction,21/04/2019,5.223233765,4.463808607,5.982658924,184.5331858,85.81753411,395.493213
4,GLMNET,prediction,28/04/2019,5.052779588,4.293354429,5.812204746,155.4567459,72.21164035,333.3554825
4,GLMNET,prediction,05/05/2019,4.956057205,4.196632047,5.715482364,141.0326847,65.46211241,302.5305801
4,GLMNET,prediction,12/05/2019,5.004736499,4.245311341,5.764161657,148.1177853,68.77748132,317.6717758
4,GLMNET,prediction,19/05/2019,5.102970624,4.343545466,5.862395782,163.5098791,75.97998598,350.56541
4,GLMNET,prediction,26/05/2019,5.259876992,4.500451833,6.01930215,191.4578159,89.05781325,410.2914758
4,GLMNET,prediction,02/06/2019,5.38846485,4.629039692,6.147890009,217.8671337,101.4156663,466.7294397
4,GLMNET,prediction,09/06/2019,5.506165504,4.746740346,6.265590662,245.2052417,114.2081331,525.1522725
4,GLMNET,prediction,16/06/2019,5.565300504,4.805875346,6.324725663,260.2036848,121.2264347,557.2046563
4,GLMNET,prediction,23/06/2019,5.820207382,5.060782224,6.579632541,336.0419429,156.7138356,719.2746089
4,GLMNET,prediction,30/06/2019,5.890424578,5.13099942,6.649849737,360.5587618,168.1861216,771.6682131
4,GLMNET,prediction,07/07/2019,6.070953476,5.354066011,6.787840941,432.093429,210.4663768,885.9964158
4,GLMNET,prediction,14/07/2019,6.020090829,5.303203364,6.736978295,410.6159809,199.9795907,842.0095569
4,GLMNET,prediction,21/07/2019,5.955610289,5.238722824,6.672497754,384.9123568,187.4292912,789.3672842
4,GLMNET,prediction,28/07/2019,5.902215945,5.18532848,6.619103411,364.8472678,177.6321172,748.2730056
4,GLMNET,prediction,04/08/2019,5.957353757,5.240466291,6.674241222,385.5857695,187.7580981,790.746466
4,GLMNET,prediction,11/08/2019,5.955001166,5.238113701,6.671888631,384.6773604,187.3145496,788.8860002
4,GLMNET,prediction,18/08/2019,5.893453131,5.176565666,6.610340597,361.6554215,176.0736355,741.735949
4,GLMNET,prediction,25/08/2019,6.09662917,5.379741705,6.813516635,443.3573895,215.9662268,909.0655549
4,GLMNET,prediction,01/09/2019,6.027258798,5.310371333,6.744146264,413.577031,201.4253816,848.0739318
4,GLMNET,prediction,08/09/2019,5.96156383,5.244676365,6.678451295,387.2167548,188.5544588,794.0868034
4,GLMNET,prediction,15/09/2019,5.970906294,5.254018828,6.687793759,390.8606506,190.3336625,801.5496794
4,GLMNET,prediction,22/09/2019,5.797098405,5.080210939,6.51398587,328.3425534,159.8079731,673.5095742
4,GLMNET,prediction,29/09/2019,5.855453147,5.138565682,6.572340612,348.1330729,169.4710831,714.0415211
4,GLMNET,prediction,06/10/2019,5.879493679,5.162606214,6.596381144,356.6281212,173.6189574,731.4397934
4,GLMNET,prediction,13/10/2019,5.813385855,5.09649839,6.530273321,333.7506262,162.4485709,684.5855706
4,GLMNET,prediction,20/10/2019,5.688374669,4.971487204,6.405262135,294.4130862,143.2412441,604.0203746
4,GLMNET,prediction,27/10/2019,5.600264592,4.883377127,6.317152057,269.4979695,131.0759488,552.9930033
